Province,City,Date,Daytime weather ,Daytime wind ,MaximumTemperature,Nighttime weather,Night wind ,MinimumTemperature
北京,北京,2018/1/1,晴,东北风 <3级,3,多云,东北风 <3级,-6
北京,北京,2018/1/2,多云,东北风 <3级,3,多云,北风 <3级,-5
北京,北京,2018/1/3,多云,北风 <3级,2,多云,东北风 <3级,-5
北京,北京,2018/1/4,阴,东北风 <3级,-1,阴,西南风 <3级,-7
北京,北京,2018/1/5,多云,西北风 <3级,3,晴,北风 <3级,-6
北京,北京,2018/1/6,多云,西南风 <3级,2,阴,西南风 <3级,-4
北京,北京,2018/1/7,阴,西风 <3级,2,多云,北风 3～4级,-4
北京,北京,2018/1/8,晴,西北风 4～5级,2,晴,西北风 <3级,-6
北京,北京,2018/1/9,晴,西北风 3～4级,2,晴,西北风 <3级,-8
北京,北京,2018/1/10,晴,西北风 4～5级,-2,晴,北风 <3级,-10
北京,北京,2018/1/11,晴,北风 <3级,-1,晴,西风 <3级,-10
北京,北京,2018/1/12,晴,西南风 <3级,2,晴,西北风 <3级,-8
北京,北京,2018/1/13,多云,南风 <3级,3,多云,北风 <3级,-7
北京,北京,2018/1/14,晴,西北风 <3级,6,多云,东北风 <3级,-5
北京,北京,2018/1/15,阴,东南风 <3级,2,多云,北风 <3级,-5
北京,北京,2018/1/16,多云,南风 <3级,5,多云,南风 <3级,-5
北京,北京,2018/1/17,多云,北风 <3级,6,晴,西北风 <3级,-7
北京,北京,2018/1/18,晴,西南风 <3级,5,晴,南风 <3级,-6
北京,北京,2018/1/19,晴,北风 <3级,7,晴,北风 <3级,-4
北京,北京,2018/1/20,晴,东南风 <3级,3,多云,东南风 <3级,-6
北京,北京,2018/1/21,阴,东北风 <3级,0,小雪,东风 <3级,-5
北京,北京,2018/1/22,小雪,东风 <3级,-3,多云,北风 3～4级,-10
北京,北京,2018/1/23,晴,北风 <3级,-5,晴,西南风 <3级,-12
北京,北京,2018/1/24,晴,西南风 <3级,-4,晴,西南风 <3级,-11
北京,北京,2018/1/25,多云,东北风 <3级,-3,多云,东北风 <3级,-11
北京,北京,2018/1/26,多云,南风 <3级,-3,多云,南风 <3级,-10
北京,北京,2018/1/27,多云,西南风 <3级,-1,多云,北风 3～4级,-9
北京,北京,2018/1/28,晴,北风 3～4级,-1,晴,北风 <3级,-9
北京,北京,2018/1/29,晴,西风 <3级,1,晴,北风 <3级,-8
北京,北京,2018/1/30,晴,西北风 <3级,5,晴,北风 <3级,-6
北京,北京,2018/1/31,晴,西南风 <3级,4,晴,西南风 <3级,-8
北京,北京,2018/2/1,多云,西北风 <3级,5,多云,北风 3～4级,-7
北京,北京,2018/2/2,晴,北风 3～4级,-1,晴,北风 <3级,-9
北京,北京,2018/2/3,多云,西北风 <3级,0,多云,北风 <3级,-9
北京,北京,2018/2/4,晴,西风 <3级,2,晴,北风 <3级,-8
北京,北京,2018/2/5,晴,北风 <3级,0,晴,东北风 <3级,-10
北京,北京,2018/2/6,多云,西南风 <3级,2,阴,北风 <3级,-7
北京,北京,2018/2/7,多云,北风 4～5级,2,晴,西南风 <3级,-9
北京,北京,2018/2/8,多云,西南风 3～4级,3,多云,北风 <3级,-7
北京,北京,2018/2/9,多云,西北风 4～5级,4,多云,西北风 <3级,-9
北京,北京,2018/2/10,晴,西北风 4～5级,1,晴,西北风 <3级,-9
北京,北京,2018/2/11,晴,西北风 4～5级,0,晴,西北风 <3级,-8
北京,北京,2018/2/12,晴,西风 <3级,5,晴,西南风 <3级,-7
北京,北京,2018/2/13,晴,西风 <3级,8,多云,东北风 <3级,-4
北京,北京,2018/2/14,多云,北风 <3级,6,多云,东北风 <3级,-6
北京,北京,2018/2/15,多云,南风 <3级,5,多云,西南风 <3级,-5
北京,北京,2018/2/16,多云,南风 <3级,5,多云,南风 <3级,-5
北京,北京,2018/2/17,多云,南风 <3级,5,阴,北风 <3级,-4
北京,北京,2018/2/18,多云,南风 <3级,8,多云,东北风 <3级,-3
北京,北京,2018/2/19,多云,南风 <3级,6,多云,东北风 <3级,-3
北京,北京,2018/2/20,多云,北风 <3级,6,晴,西南风 <3级,-5
北京,北京,2018/2/21,晴,西南风 <3级,8,晴,北风 <3级,-4
北京,北京,2018/2/22,多云,北风 <3级,10,多云,东北风 <3级,-5
北京,北京,2018/2/23,多云,北风 <3级,10,多云,东北风 <3级,-4
北京,北京,2018/2/24,多云,南风 <3级,3,多云,南风 <3级,-6
北京,北京,2018/2/25,多云,西南风 <3级,6,多云,北风 <3级,-3
北京,北京,2018/2/26,晴,东南风 <3级,12,多云,东北风 <3级,-1
北京,北京,2018/2/27,阴,东风 <3级,7,阴,东南风 <3级,0
北京,北京,2018/2/28,多云,西北风 <3级,9,晴,北风 <3级,-2
