Province,City,Date,Daytime weather ,Daytime wind ,MaximumTemperature,Nighttime weather,Night wind ,MinimumTemperature
辽宁,大连,2018/1/1,晴,北风 4～5级,2,晴,东北风 4～5级,-6
辽宁,大连,2018/1/2,晴,北风 5～6级,-2,晴,北风 5～6级,-7
辽宁,大连,2018/1/3,晴,北风 5～6级,-3,晴,北风 5～6级,-6
辽宁,大连,2018/1/4,多云,北风 5～6级,-3,多云,北风 4～5级,-7
辽宁,大连,2018/1/5,晴,西北风 4～5级,0,晴,西北风 4～5级,-6
辽宁,大连,2018/1/6,晴,北风 4～5级,1,晴,南风 4～5级,-4
辽宁,大连,2018/1/7,多云,南风 4～5级,2,小雪,西风 4～5级,-2
辽宁,大连,2018/1/8,多云,西北风 6～7级,1,晴,西北风 6～7级,-7
辽宁,大连,2018/1/9,多云,西北风 5～6级,-3,小雪,西北风 6～7级,-10
辽宁,大连,2018/1/10,多云,北风 6～7级,-6,多云,北风 6～7级,-11
辽宁,大连,2018/1/11,阵雪,北风 5～6级,-8,晴,北风 4～5级,-11
辽宁,大连,2018/1/12,晴,西风 5～6级,0,晴,西风 5～6级,-8
辽宁,大连,2018/1/13,晴,西南风 4～5级,4,晴,西南风 5～6级,-3
辽宁,大连,2018/1/14,晴,西南风 5～6级,6,晴,北风 4～5级,-2
辽宁,大连,2018/1/15,晴,北风 4～5级,2,多云,南风 4～5级,-3
辽宁,大连,2018/1/16,多云,北风 4～5级,4,晴,南风 4～5级,-2
辽宁,大连,2018/1/17,多云,西南风 4～5级,4,晴,北风 4～5级,-2
辽宁,大连,2018/1/18,晴,西南风 4～5级,4,晴,西南风 4～5级,-2
辽宁,大连,2018/1/19,晴,西南风 4～5级,5,晴,东北风 4～5级,-1
辽宁,大连,2018/1/20,晴,东北风 4～5级,1,晴,东风 4～5级,-4
辽宁,大连,2018/1/21,小雪,东北风 5～6级,0,小雪,东北风 5～6级,-9
辽宁,大连,2018/1/22,小雪,东北风 6～7级,-4,多云,北风 5～6级,-14
辽宁,大连,2018/1/23,阵雪,北风 5～6级,-10,晴,北风 4～5级,-15
辽宁,大连,2018/1/24,晴,北风 4～5级,-9,晴,北风 4～5级,-14
辽宁,大连,2018/1/25,晴,北风 5～6级,-10,晴,北风 5～6级,-15
辽宁,大连,2018/1/26,晴,北风 4～5级,-10,晴,北风 4～5级,-13
辽宁,大连,2018/1/27,多云,北风 4～5级,-4,阵雪,北风 4～5级,-12
辽宁,大连,2018/1/28,多云,北风 5～6级,-5,晴,西北风 5～6级,-11
辽宁,大连,2018/1/29,晴,西北风 5～6级,-4,晴,西风 5～6级,-7
辽宁,大连,2018/1/30,晴,西风 5～6级,1,晴,西北风 4～5级,-6
辽宁,大连,2018/1/31,晴,东北风 4～5级,1,晴,南风 4～5级,-4
辽宁,大连,2018/2/1,晴,南风 4～5级,2,多云,南风 4～5级,-5
辽宁,大连,2018/2/2,多云,北风 5～6级,-1,多云,北风 5～6级,-9
辽宁,大连,2018/2/3,晴,北风 6～7级,-6,晴,北风 4～5级,-11
辽宁,大连,2018/2/4,晴,北风 4～5级,-5,多云,北风 5～6级,-11
辽宁,大连,2018/2/5,多云,北风 5～6级,-7,晴,北风 5～6级,-12
辽宁,大连,2018/2/6,晴,北风 4～5级,-5,多云,南风 4～5级,-9
辽宁,大连,2018/2/7,小雪,北风 5～6级,-2,多云,南风 4～5级,-9
辽宁,大连,2018/2/8,晴,南风 4～5级,1,晴,南风 5～6级,-7
辽宁,大连,2018/2/9,晴,西南风 4～5级,4,多云,西北风 5～6级,-5
辽宁,大连,2018/2/10,晴,西北风 5～6级,-4,晴,西北风 5～6级,-8
辽宁,大连,2018/2/11,晴,西北风 6～7级,-3,晴,西北风 6～7级,-7
辽宁,大连,2018/2/12,晴,西北风 5～6级,-2,晴,西南风 4～5级,-6
辽宁,大连,2018/2/13,晴,西南风 5～6级,4,晴,北风 6～7级,-2
辽宁,大连,2018/2/14,晴,北风 5～6级,0,晴,北风 4～5级,-6
辽宁,大连,2018/2/15,晴,北风 4～5级,2,晴,西南风 4～5级,-3
辽宁,大连,2018/2/16,晴,北风 5～6级,2,晴,东风 4～5级,-6
辽宁,大连,2018/2/17,多云,南风 4～5级,3,多云,南风 4～5级,-1
辽宁,大连,2018/2/18,雨夹雪,东北风 4～5级,3,多云,东北风 4～5级,-4
辽宁,大连,2018/2/19,多云,东风 4～5级,2,多云,东风 4～5级,-5
辽宁,大连,2018/2/20,晴,东北风 4～5级,1,晴,西南风 4～5级,-5
辽宁,大连,2018/2/21,晴,西南风 4～5级,4,多云,西南风 4～5级,-1
辽宁,大连,2018/2/22,晴,西南风 4～5级,7,多云,西南风 4～5级,-1
辽宁,大连,2018/2/23,多云,南风 4～5级,7,多云,北风 6～7级,-5
辽宁,大连,2018/2/24,晴,北风 6～7级,-1,晴,北风 4～5级,-6
辽宁,大连,2018/2/25,晴,南风 4～5级,4,晴,南风 4～5级,-3
辽宁,大连,2018/2/26,多云,南风 4～5级,7,晴,东北风 4～5级,-1
辽宁,大连,2018/2/27,晴,东北风 4～5级,6,多云,东南风 4～5级,1
辽宁,大连,2018/2/28,小雨,东南风 4～5级,6,雨夹雪,北风 6～7级,-3
辽宁,大连,2018/3/1,晴,北风 6～7级,1,晴,南风 4～5级,-4
辽宁,大连,2018/3/2,晴,南风 5～6级,7,晴,南风 5～6级,1
辽宁,大连,2018/3/3,晴,南风 5～6级,8,多云,北风 6～7级,1
辽宁,大连,2018/3/4,小雨,东北风 6～7级,4,多云,东北风 6～7级,-2
辽宁,大连,2018/3/5,晴,东北风 6～7级,3,晴,东北风 5～6级,-3
辽宁,大连,2018/3/6,晴,东北风 4～5级,2,晴,东南风 4～5级,-3
辽宁,大连,2018/3/7,小雨,南风 4～5级,3,雨夹雪,北风 6～7级,-5
辽宁,大连,2018/3/8,晴,北风 6～7级,-1,晴,北风 5～6级,-6
辽宁,大连,2018/3/9,晴,北风 4～5级,4,晴,南风 4～5级,1
辽宁,大连,2018/3/10,晴,北风 4～5级,8,晴,北风 4～5级,1
辽宁,大连,2018/3/11,晴,东南风 4～5级,7,晴,南风 4～5级,1
辽宁,大连,2018/3/12,晴,南风 5～6级,13,晴,南风 5～6级,6
辽宁,大连,2018/3/13,晴,南风 5～6级,15,晴,南风 4～5级,6
辽宁,大连,2018/3/14,多云,南风 4～5级,13,小雨,北风 6～7级,-2
辽宁,大连,2018/3/15,多云,北风 6～7级,3,晴,北风 6～7级,-4
辽宁,大连,2018/3/16,晴,北风 6～7级,5,晴,南风 4～5级,-1
辽宁,大连,2018/3/17,多云,南风 4～5级,7,雨夹雪,南风 4～5级,1
辽宁,大连,2018/3/18,阴,东风 4～5级,6,多云,北风 5～6级,0
辽宁,大连,2018/3/19,晴,东北风 6～7级,9,晴,东北风 6～7级,0
辽宁,大连,2018/3/20,多云,东北风 6～7级,6,多云,东北风 5～6级,0
辽宁,大连,2018/3/21,多云,北风 4～5级,7,晴,西南风 4～5级,0
辽宁,大连,2018/3/22,晴,西南风 4～5级,10,晴,西南风 4～5级,3
辽宁,大连,2018/3/23,多云,南风 4～5级,12,晴,东北风 4～5级,3
辽宁,大连,2018/3/24,晴,西南风 4～5级,14,晴,西南风 4～5级,6
辽宁,大连,2018/3/25,晴,南风 4～5级,18,晴,南风 4～5级,8
辽宁,大连,2018/3/26,晴,南风 4～5级,19,晴,南风 4～5级,6
辽宁,大连,2018/3/27,晴,南风 5～6级,11,晴,南风 5～6级,5
辽宁,大连,2018/3/28,晴,东北风 5～6级,14,晴,东北风 5～6级,8
辽宁,大连,2018/3/29,晴,东北风 6～7级,17,晴,东北风 4～5级,6
辽宁,大连,2018/3/30,晴,东南风 4～5级,14,晴,南风 4～5级,6
辽宁,大连,2018/3/31,多云,南风 4～5级,16,多云,南风 4～5级,7
辽宁,大连,2018/4/1,晴,南风 4～5级,13,晴,南风 5～6级,5
辽宁,大连,2018/4/2,晴,南风 5～6级,16,多云,北风 6～7级,6
辽宁,大连,2018/4/3,多云,东北风 6～7级,11,多云,东北风 6～7级,4
辽宁,大连,2018/4/4,晴,东北风 5～6级,11,多云,东北风 4～5级,4
辽宁,大连,2018/4/5,小雨,东北风 4-5级,9,多云,东北风 4-5级,3
辽宁,大连,2018/4/6,小雨,西北风 6～7级,7,多云,西北风 5～6级,2
辽宁,大连,2018/4/7,晴,西风 5～6级,9,晴,南风 4～5级,4
辽宁,大连,2018/4/8,晴,南风 4～5级,12,晴,南风 4～5级,4
辽宁,大连,2018/4/9,晴,南风 6～7级,14,多云,南风 6～7级,8
辽宁,大连,2018/4/10,多云,西南风 5～6级,14,多云,西北风 5～6级,6
辽宁,大连,2018/4/11,晴,西南风 4～5级,19,晴,东北风 4～5级,7
辽宁,大连,2018/4/12,晴,东北风 4～5级,16,多云,东风 4～5级,7
辽宁,大连,2018/4/13,小雨,东风 4～5级,14,小雨-中雨,东风 4～5级,6
辽宁,大连,2018/4/14,小雨,西南风 4～5级,12,晴,西北风 5～6级,5
辽宁,大连,2018/4/15,晴,西北风 4～5级,13,晴,西南风 4～5级,6
辽宁,大连,2018/4/16,少云, ,16,晴,南风 4,7
辽宁,大连,2018/4/17,晴,南风 5～6级,17,晴,南风 5～6级,9
辽宁,大连,2018/4/18,晴,南风 5～6级,17,晴,南风 5～6级,9
辽宁,大连,2018/4/19,晴,东北风 4～5级,21,晴,东南风 5～6级,12
辽宁,大连,2018/4/20,晴,南风 6～7级,17,晴,南风 6～7级,9
辽宁,大连,2018/4/21,多云,东风 4～5级,15,小雨,东风 5～6级,8
辽宁,大连,2018/4/22,小雨-中雨,东风 5～6级,11,小雨,东北风 5～6级,7
辽宁,大连,2018/4/23,多云,东北风 5～6级,14,晴,北风 4～5级,7
辽宁,大连,2018/4/24,晴,北风 4～5级,16,晴,北风 4～5级,9
辽宁,大连,2018/4/25,晴,西北风 4～5级,21,晴,西南风 4～5级,11
辽宁,大连,2018/4/26,晴,南风 4～5级,21,晴,北风 5～6级,11
辽宁,大连,2018/4/27,晴,北风 5～6级,22,晴,西南风 4～5级,12
辽宁,大连,2018/4/28,晴,西南风 5～6级,22,晴,西南风 5～6级,11
辽宁,大连,2018/4/29,晴,西南风 5～6级,22,晴,南风 4～5级,11
